,precision,recall,f1-score,support
Bad,0.5416666666666666,0.0019405881474846992,0.0038673211363974415,6699.0
Average,0.8058298072402444,0.17919498170412965,0.2931919261033185,9565.0
Good,0.7739432597105864,0.9972603299871194,0.8715236521195336,48911.0
accuracy,0.7748983505945531,0.7748983505945531,0.7748983505945531,0.7748983505945531
macro avg,0.7071465778724991,0.3927986332795779,0.38952763311974986,65175.0
weighted avg,0.7547483833058294,0.7748983505945531,0.6974665332764016,65175.0
