,precision,recall,f1-score,support
Bad,0.24604515435416988,0.23914017017465294,0.2425435276305829,6699.0
Average,0.46315459391658825,0.4632514375326712,0.463203010662764,9565.0
Good,0.8546347027313278,0.857884729406473,0.8562566321116644,48911.0
accuracy,0.7363713080168777,0.7363713080168777,0.7363713080168777,0.7363713080168777
macro avg,0.5212781503340286,0.5200921123712657,0.5206677234683371,65175.0
weighted avg,0.7346278193344492,0.7363713080168777,0.7354921982631413,65175.0
