,precision,recall,f1-score,support
Bad,0.45004269854824935,0.1573369159576056,0.23316004866718285,6699.0
Average,0.6861182807765683,0.6392054364871929,0.6618315652738688,9565.0
Good,0.8699232224324024,0.959048066897017,0.9123141404024,48911.0
accuracy,0.8297046413502109,0.8297046413502109,0.8297046413502109,0.8297046413502109
macro avg,0.6686947339190734,0.5851968064472718,0.6024352514478172,65175.0
weighted avg,0.7997909033462804,0.8297046413502109,0.8057469122990073,65175.0
