,precision,recall,f1-score,support
Bad,0.7004716981132075,0.08866995073891626,0.1574135418046906,6699.0
Average,0.7565837600585223,0.432514375326712,0.5503891438834564,9565.0
Good,0.8197726770757233,0.9865061029216332,0.8954440011134824,48911.0
accuracy,0.8129190640583046,0.8129190640583046,0.8129190640583046,0.8129190640583046
macro avg,0.7589427117491511,0.5025634763290872,0.5344155622672098,65175.0
weighted avg,0.7982368236144357,0.8129190640583046,0.7689458690641569,65175.0
